frame,keypoint 1 x,keypoint 1 y,keypoint 2 x,keypoint 2 y,keypoint 3 x,keypoint 3 y,keypoint 4 x,keypoint 4 y,keypoint 5 x,keypoint 5 y,keypoint 6 x,keypoint 6 y,keypoint 7 x,keypoint 7 y,keypoint 8 x,keypoint 8 y,keypoint 9 x,keypoint 9 y,keypoint 10 x,keypoint 10 y,keypoint 11 x,keypoint 11 y,keypoint 12 x,keypoint 12 y,keypoint 13 x,keypoint 13 y,keypoint 14 x,keypoint 14 y,keypoint 15 x,keypoint 15 y,keypoint 16 x,keypoint 16 y,keypoint 17 x,keypoint 17 y,keypoint 18 x,keypoint 18 y,keypoint 19 x,keypoint 19 y,keypoint 20 x,keypoint 20 y,keypoint 21 x,keypoint 21 y,keypoint 22 x,keypoint 22 y,keypoint 23 x,keypoint 23 y,keypoint 24 x,keypoint 24 y,keypoint 25 x,keypoint 25 y,keypoint 26 x,keypoint 26 y,keypoint 27 x,keypoint 27 y,keypoint 28 x,keypoint 28 y,keypoint 29 x,keypoint 29 y,keypoint 30 x,keypoint 30 y,keypoint 31 x,keypoint 31 y,keypoint 32 x,keypoint 32 y,frame width,frame height
0,1036,324,1034,323,1033,323,1035,323,1033,323,1031,322,1017,328,1018,328,1038,349,1037,349,991,398,1003,385,985,518,997,502,1006,606,1022,615,1009,641,1023,652,1025,641,1037,653,1018,633,1038,644,989,629,1003,623,1022,796,1026,810,1011,963,1015,999,994,990,1002,1032,1084,986,1099,1027,1920,1080
1,1038,324,1036,324,1034,324,1038,324,1036,323,1034,323,1017,328,1019,328,1040,350,1039,349,989,398,1003,386,982,518,998,507,1002,608,1022,615,1004,643,1023,651,1016,644,1034,652,1015,634,1035,643,989,629,1004,623,1021,796,1023,810,1011,961,1012,1000,996,986,998,1032,1085,985,1098,1033,1920,1080
2,1040,324,1038,324,1036,324,1040,324,1038,323,1036,323,1018,328,1021,328,1042,350,1042,349,989,398,1004,386,982,518,999,508,1002,610,1022,615,1003,644,1023,651,1013,645,1032,651,1013,634,1032,642,990,628,1004,623,1021,795,1021,810,1012,960,1009,1000,997,983,995,1032,1085,985,1097,1045,1920,1080
3,1040,324,1038,324,1036,324,1040,324,1038,323,1037,323,1018,328,1022,328,1042,350,1042,349,989,398,1004,386,982,515,999,507,1001,610,1023,611,1003,643,1024,646,1012,645,1032,646,1012,634,1033,637,990,628,1001,623,1021,794,1021,809,1013,959,1009,999,998,981,994,1032,1086,985,1095,1043,1920,1080
4,1040,324,1038,324,1036,324,1040,324,1039,324,1037,323,1019,328,1022,328,1043,350,1042,349,990,398,1004,386,985,514,1005,507,1007,609,1034,611,1012,642,1040,646,1019,644,1046,646,1018,633,1043,636,993,628,997,624,1028,793,1021,809,1014,957,1008,999,999,979,993,1032,1087,985,1095,1045,1920,1080
5,1040,325,1038,324,1036,324,1040,325,1039,324,1037,324,1019,329,1022,328,1043,350,1043,349,992,398,1004,387,991,514,1010,507,1021,610,1054,611,1027,641,1062,645,1037,642,1068,644,1034,632,1064,634,994,625,995,623,1031,790,1022,808,1016,957,1008,999,1001,979,992,1031,1090,986,1095,1049,1920,1080
6,1041,326,1039,325,1037,325,1040,325,1039,325,1037,325,1019,330,1022,329,1043,351,1043,350,996,403,1004,389,1006,523,1020,507,1051,612,1080,611,1065,641,1090,642,1070,642,1096,639,1066,631,1091,630,993,625,990,622,1032,790,1027,804,1016,959,1008,1000,1001,983,993,1032,1090,989,1096,1049,1920,1080
7,1041,330,1039,331,1037,331,1040,330,1039,330,1037,329,1019,335,1022,334,1044,355,1043,354,997,411,1004,394,1018,531,1035,510,1075,611,1106,604,1088,630,1118,627,1096,628,1122,625,1091,622,1117,618,987,626,984,624,1033,787,1035,802,1016,959,1010,1002,1001,982,994,1033,1090,989,1100,1048,1920,1080
8,1041,336,1039,336,1037,336,1041,335,1039,335,1037,334,1019,340,1022,338,1043,360,1043,359,996,418,1005,398,1017,537,1051,511,1084,607,1134,597,1098,622,1151,614,1110,618,1153,612,1107,611,1147,607,979,627,978,627,1037,786,1042,803,1016,955,1010,1004,999,977,994,1033,1086,988,1098,1047,1920,1080
9,1041,341,1039,342,1037,342,1041,340,1039,340,1037,340,1019,346,1022,344,1044,367,1043,365,996,426,1006,404,1026,538,1062,510,1106,594,1157,578,1124,603,1173,594,1134,598,1177,592,1129,594,1171,588,974,631,973,632,1043,786,1050,804,1016,955,1010,1004,999,977,994,1033,1085,986,1096,1045,1920,1080
10,1043,354,1041,354,1038,353,1043,353,1041,352,1039,351,1020,356,1023,354,1044,380,1044,378,993,436,1006,413,1033,545,1072,510,1130,580,1172,561,1152,584,1189,574,1157,580,1189,571,1152,578,1183,569,968,643,966,644,1051,789,1057,806,1017,955,1011,1008,999,977,994,1035,1085,986,1097,1046,1920,1080
11,1044,363,1042,363,1039,363,1044,362,1043,361,1040,361,1021,366,1024,364,1045,388,1045,387,994,450,1007,423,1045,554,1077,510,1145,571,1178,548,1166,572,1197,555,1171,567,1195,552,1166,567,1189,551,965,653,961,654,1057,791,1065,807,1020,958,1013,1008,1001,980,992,1039,1086,987,1098,1045,1920,1080
12,1047,375,1044,375,1042,375,1047,374,1045,373,1043,373,1024,379,1027,377,1047,400,1047,398,993,462,1010,436,1046,561,1089,512,1143,554,1186,536,1165,552,1206,539,1171,546,1202,534,1166,548,1197,535,961,667,956,671,1061,795,1076,812,1020,959,1020,1008,1001,981,998,1039,1085,987,1104,1040,1920,1080
13,1051,391,1049,391,1046,391,1051,390,1049,389,1047,388,1029,394,1030,392,1053,415,1053,413,996,476,1014,449,1055,570,1092,519,1143,547,1189,525,1164,536,1210,518,1167,529,1204,513,1163,533,1197,517,957,678,954,684,1065,801,1084,817,1020,959,1020,1007,1000,980,998,1039,1079,986,1101,1035,1920,1080
14,1053,402,1051,402,1049,402,1054,401,1052,401,1050,400,1032,408,1034,406,1056,428,1056,426,996,492,1018,463,1074,577,1108,536,1151,540,1182,517,1168,522,1200,508,1167,514,1190,504,1164,520,1185,508,945,690,949,695,1063,804,1091,819,1019,958,1021,1005,996,979,998,1039,1078,984,1100,1029,1920,1080
15,1056,418,1054,418,1051,418,1056,417,1055,417,1053,416,1035,425,1037,423,1058,443,1059,442,999,509,1023,478,1083,582,1115,537,1152,541,1174,512,1164,517,1190,496,1162,510,1181,495,1159,516,1175,502,942,704,949,706,1061,812,1098,820,1018,958,1023,997,995,979,1002,1026,1076,984,1099,1025,1920,1080
16,1060,429,1058,428,1056,428,1061,429,1059,428,1058,428,1038,434,1042,434,1062,454,1063,454,1001,516,1031,493,1089,582,1129,550,1154,537,1168,516,1164,520,1183,497,1160,513,1178,499,1156,519,1174,506,944,713,947,720,1068,813,1096,822,1018,958,1023,1003,996,979,1001,1029,1077,983,1100,1025,1920,1080
17,1065,440,1063,439,1060,439,1065,440,1064,439,1062,439,1043,445,1047,445,1066,466,1066,467,1003,528,1035,511,1093,579,1147,563,1149,527,1166,513,1158,512,1180,496,1156,509,1175,499,1152,514,1170,507,940,721,942,731,1071,810,1099,822,1018,953,1024,1002,996,976,1001,1028,1077,979,1100,1025,1920,1080
18,1070,451,1068,451,1066,450,1071,452,1069,451,1067,451,1047,457,1051,458,1071,479,1070,479,1003,536,1037,524,1090,582,1156,571,1148,529,1164,517,1157,513,1179,498,1153,509,1169,502,1150,516,1161,511,934,728,939,739,1072,809,1103,821,1016,948,1025,1001,994,971,1002,1025,1071,975,1096,1022,1920,1080
19,1074,464,1071,464,1069,463,1075,464,1073,463,1071,463,1049,469,1054,469,1073,491,1073,491,1006,549,1037,534,1091,591,1161,581,1148,535,1165,521,1157,519,1178,506,1152,517,1168,508,1149,523,1161,516,932,735,936,744,1074,808,1103,821,1016,954,1025,1001,994,976,1002,1026,1072,978,1097,1024,1920,1080
20,1079,478,1077,478,1074,477,1080,478,1078,478,1076,477,1053,481,1057,482,1078,506,1078,506,1009,555,1040,548,1096,588,1162,593,1146,536,1164,521,1156,518,1177,510,1151,517,1165,511,1147,524,1158,519,933,739,937,752,1074,806,1104,823,1017,955,1025,1002,995,976,1002,1026,1072,978,1096,1024,1920,1080
21,1085,493,1082,493,1079,492,1085,493,1083,492,1080,491,1058,495,1061,495,1085,520,1083,519,1015,566,1043,559,1117,599,1170,600,1146,539,1163,531,1154,522,1169,511,1146,518,1153,512,1141,527,1146,522,935,744,937,757,1078,805,1105,823,1020,957,1025,1002,998,978,1001,1027,1076,981,1095,1025,1920,1080
22,1093,504,1090,504,1087,503,1092,503,1090,503,1087,502,1065,506,1068,506,1092,530,1091,530,1017,580,1051,568,1109,618,1177,609,1145,555,1163,542,1154,535,1169,517,1140,531,1152,519,1137,541,1146,529,933,753,938,759,1077,811,1107,823,1020,959,1025,1000,997,979,1001,1025,1073,981,1093,1022,1920,1080
23,1096,514,1093,513,1090,513,1096,513,1093,513,1091,512,1068,516,1071,517,1095,541,1094,541,1018,588,1050,577,1112,626,1179,619,1145,565,1163,557,1154,545,1167,536,1140,542,1148,536,1135,550,1142,543,931,758,938,762,1073,817,1107,823,1018,966,1029,1000,995,988,1002,1024,1073,984,1094,1022,1920,1080
24,1096,521,1093,520,1091,520,1095,520,1093,520,1091,519,1070,525,1073,526,1096,550,1094,548,1020,598,1055,584,1111,640,1182,627,1146,580,1163,572,1154,564,1164,554,1139,560,1145,552,1134,567,1139,558,929,766,938,771,1072,820,1107,823,1016,967,1032,1000,994,989,1003,1024,1068,984,1093,1022,1920,1080
25,1098,530,1096,530,1094,530,1098,529,1095,528,1093,528,1073,534,1076,535,1099,559,1097,557,1022,606,1062,593,1109,656,1187,636,1147,598,1163,587,1154,581,1163,569,1140,577,1145,566,1134,582,1140,573,929,772,936,777,1073,829,1107,825,1015,969,1031,1001,994,993,1003,1025,1068,986,1095,1028,1920,1080
26,1101,535,1099,535,1097,535,1100,534,1098,534,1096,533,1076,540,1080,541,1102,565,1101,563,1022,612,1067,601,1110,662,1189,646,1149,608,1163,598,1156,590,1163,580,1140,586,1146,576,1135,594,1141,585,927,779,936,787,1073,827,1108,825,1013,969,1031,1001,992,990,1002,1023,1063,986,1092,1025,1920,1080
27,1105,543,1103,543,1101,543,1105,543,1103,542,1100,542,1079,549,1083,549,1106,574,1105,572,1025,622,1068,609,1113,677,1193,660,1151,617,1166,604,1159,599,1164,584,1142,594,1146,582,1136,602,1141,591,928,785,935,795,1072,825,1107,826,1013,969,1030,1002,992,990,1000,1026,1065,988,1090,1034,1920,1080
28,1111,555,1109,555,1107,554,1111,555,1109,554,1107,553,1084,557,1088,559,1109,584,1109,583,1026,628,1071,618,1117,684,1196,671,1156,619,1169,609,1162,601,1166,588,1146,595,1147,587,1140,604,1142,596,928,791,936,804,1072,827,1107,828,1013,969,1030,1002,991,989,1000,1026,1065,987,1089,1025,1920,1080
29,1111,562,1109,562,1107,561,1111,562,1109,561,1107,560,1085,564,1089,566,1108,592,1108,591,1027,632,1069,624,1122,683,1194,676,1159,622,1170,610,1165,604,1166,590,1149,601,1147,590,1143,609,1142,599,927,798,935,810,1073,831,1107,831,1013,973,1030,1004,991,994,1000,1026,1067,989,1089,1026,1920,1080
30,1111,571,1109,571,1107,570,1111,570,1109,569,1108,569,1084,571,1089,572,1108,601,1108,600,1026,636,1069,628,1124,688,1194,682,1158,626,1170,615,1166,607,1167,595,1151,605,1147,598,1144,614,1142,606,925,800,935,812,1072,834,1107,834,1012,975,1030,1006,990,998,1000,1029,1067,989,1088,1031,1920,1080
