frame,keypoint 1 x,keypoint 1 y,keypoint 2 x,keypoint 2 y,keypoint 3 x,keypoint 3 y,keypoint 4 x,keypoint 4 y,keypoint 5 x,keypoint 5 y,keypoint 6 x,keypoint 6 y,keypoint 7 x,keypoint 7 y,keypoint 8 x,keypoint 8 y,keypoint 9 x,keypoint 9 y,keypoint 10 x,keypoint 10 y,keypoint 11 x,keypoint 11 y,keypoint 12 x,keypoint 12 y,keypoint 13 x,keypoint 13 y,keypoint 14 x,keypoint 14 y,keypoint 15 x,keypoint 15 y,keypoint 16 x,keypoint 16 y,keypoint 17 x,keypoint 17 y,keypoint 18 x,keypoint 18 y,keypoint 19 x,keypoint 19 y,keypoint 20 x,keypoint 20 y,keypoint 21 x,keypoint 21 y,keypoint 22 x,keypoint 22 y,keypoint 23 x,keypoint 23 y,keypoint 24 x,keypoint 24 y,keypoint 25 x,keypoint 25 y,keypoint 26 x,keypoint 26 y,keypoint 27 x,keypoint 27 y,keypoint 28 x,keypoint 28 y,keypoint 29 x,keypoint 29 y,keypoint 30 x,keypoint 30 y,keypoint 31 x,keypoint 31 y,keypoint 32 x,keypoint 32 y,frame width,frame height
0,1034,204,1039,205,1046,206,1012,202,1003,202,995,202,1053,217,982,214,1032,244,1005,242,1088,317,925,311,1162,342,893,334,1160,343,922,337,1158,343,938,340,1140,338,949,330,1131,339,949,330,1047,599,945,592,1062,762,916,764,1057,898,906,887,1047,909,913,896,1064,972,892,959,1920,1080
1,1034,206,1039,207,1046,208,1012,204,1003,204,995,204,1053,220,981,216,1032,245,1005,243,1088,318,925,311,1156,342,893,333,1155,343,925,339,1155,344,939,342,1137,339,950,332,1129,341,951,332,1047,603,945,596,1062,762,917,764,1057,898,906,889,1049,909,913,903,1060,971,891,962,1920,1080
2,1034,209,1040,210,1046,212,1012,207,1003,207,995,207,1053,223,981,219,1032,248,1005,245,1088,321,926,311,1155,344,893,337,1153,347,932,349,1153,346,943,347,1136,342,953,338,1128,344,955,340,1047,608,944,599,1062,766,917,764,1058,897,905,890,1050,909,912,905,1057,970,890,962,1920,1080
3,1034,215,1040,216,1046,217,1012,213,1003,212,996,213,1053,228,981,224,1032,253,1005,250,1088,327,926,315,1153,351,893,340,1153,354,932,354,1153,353,942,356,1135,349,953,346,1128,352,955,347,1047,614,944,606,1064,772,917,771,1058,897,905,890,1050,909,913,905,1057,970,889,965,1920,1080
4,1033,222,1039,223,1046,224,1012,220,1003,220,996,220,1053,236,981,230,1032,260,1005,257,1087,331,925,319,1143,360,895,343,1152,362,933,364,1153,360,943,370,1135,356,957,367,1128,361,960,366,1048,619,944,610,1065,776,916,774,1058,898,905,891,1050,909,912,905,1055,970,889,965,1920,1080
5,1033,231,1039,232,1045,233,1012,228,1003,228,995,227,1053,244,980,239,1032,268,1005,264,1087,339,924,330,1145,368,896,354,1151,371,934,374,1153,370,943,381,1134,367,962,379,1124,371,965,378,1048,624,944,615,1067,780,916,776,1058,898,905,891,1049,909,911,905,1055,970,889,966,1920,1080
6,1033,242,1040,243,1046,244,1012,240,1004,239,996,239,1053,255,980,248,1033,279,1009,275,1087,349,924,338,1142,376,900,362,1152,377,934,384,1162,377,943,392,1136,375,962,391,1125,378,965,390,1049,630,944,622,1068,782,916,782,1058,898,905,891,1049,909,912,905,1055,970,888,968,1920,1080
7,1034,253,1040,255,1047,256,1013,251,1004,250,996,250,1054,265,980,258,1033,292,1009,287,1087,359,924,349,1134,386,904,367,1159,388,934,395,1178,387,944,407,1162,383,962,404,1146,386,964,401,1050,635,944,627,1071,783,916,784,1057,899,905,891,1048,909,912,905,1055,970,888,968,1920,1080
8,1035,264,1042,265,1049,267,1014,261,1005,260,997,259,1055,275,981,267,1033,303,1010,298,1086,366,924,356,1128,393,912,380,1159,398,935,408,1181,397,944,419,1167,395,962,417,1149,397,964,416,1051,638,943,632,1074,786,914,788,1057,898,904,890,1048,907,911,904,1055,970,887,968,1920,1080
9,1035,272,1042,273,1049,275,1014,269,1005,268,997,268,1055,283,981,276,1033,311,1010,307,1086,376,926,364,1131,404,914,391,1168,414,940,424,1184,413,947,438,1167,412,972,441,1152,415,975,439,1050,644,942,636,1076,790,913,791,1058,896,904,890,1047,902,911,903,1055,970,888,968,1920,1080
10,1036,283,1043,284,1049,285,1014,280,1006,279,998,279,1056,292,982,287,1033,321,1011,318,1087,382,927,373,1133,413,914,399,1183,425,940,430,1204,420,943,447,1190,421,972,449,1170,427,973,447,1050,648,942,641,1077,791,911,793,1058,895,904,889,1047,900,912,901,1055,970,888,967,1920,1080
11,1036,294,1043,295,1049,295,1014,291,1006,290,998,290,1056,302,983,297,1033,332,1011,329,1088,390,928,382,1134,425,916,408,1181,444,939,440,1203,444,940,459,1182,447,969,463,1168,449,973,460,1049,651,942,643,1078,792,910,792,1058,895,904,889,1047,898,912,900,1055,970,888,966,1920,1080
12,1036,304,1043,305,1049,306,1016,301,1008,301,1000,300,1056,312,985,308,1034,341,1013,338,1089,403,929,395,1134,438,918,417,1179,457,939,446,1197,454,935,467,1177,457,964,472,1165,460,971,470,1048,655,941,648,1080,796,906,800,1058,895,904,889,1045,898,913,900,1057,971,888,966,1920,1080
